year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2018,13,Belgium,Panama,0.12063809012924855,0.6928314956006496,0.20524502044027407,0.10192348395907641,0.8134695857301344,0.1381121476360821,0.04841826663425608,home,home,False,2-0,2-0,False,3-0,1,1,0
2018,14,Tunisia,England,0.08151310712515747,0.1423170953628704,0.2765042202809285,0.581178684356201,0.1094321556664899,0.22787605285191365,0.6626917914811206,away,away,False,0-1,0-1,False,1-2,1,1,0
2018,15,Colombia,Japan,0.05775482681364348,0.5786695905031471,0.2703391135422793,0.15099129595457347,0.520914763689262,0.2900527658491644,0.18903247046109023,home,home,False,2-0,2-0,False,1-2,0,0,0
2018,16,Poland,Senegal,0.028188814029128206,0.3657958013673457,0.3145492710304581,0.31965492760219627,0.3927244654526253,0.31580942097405923,0.2914661135728206,home,home,False,1-0,1-0,False,1-2,0,0,0
2018,17,Russia,Egypt,0.17258479586400655,0.3270506617430271,0.33450412839846255,0.3384452098585104,0.49963545760678496,0.2758968938985912,0.2244676484941265,away,home,True,0-0,1-0,True,3-1,0,1,1
2018,18,Portugal,Morocco,0.11246776090609316,0.46464952486459293,0.32760571407425026,0.2077447610611568,0.5771172857709334,0.26354475186823845,0.15933796236132272,home,home,False,1-0,1-0,False,1-0,3,3,0
2018,19,Uruguay,Saudi Arabia,0.044609848733160325,0.7624280948625112,0.1591067438380576,0.07846516129943118,0.8070379435958938,0.1429218924986951,0.0500401639058556,home,home,False,2-0,2-0,False,1-0,1,1,0
2018,20,Iran,Spain,0.19847356312529285,0.11832948740044953,0.26567435023077896,0.6159961623687714,0.045704637675958136,0.13982563682974325,0.81446972549383,away,away,False,0-1,0-1,False,0-1,3,3,0
2018,21,Denmark,Australia,0.02741420440513917,0.4822232447513668,0.28443967343227167,0.2333370818163615,0.5096374491567476,0.28286796467857533,0.20749458616516028,home,home,False,2-0,2-0,False,1-1,0,0,0
2018,22,France,Peru,0.17670081805204732,0.42868322534319503,0.32023704383515916,0.25107973082164575,0.6053840433949892,0.25110533811904434,0.1435106184854601,home,home,False,1-0,1-0,False,1-0,3,3,0
2018,23,Argentina,Croatia,0.07020654303696257,0.5355843214917654,0.2840462677437106,0.18036941076452395,0.4653777784545566,0.29623676196924564,0.23838545957570526,home,home,False,2-0,2-0,False,0-3,0,0,0
2018,24,Brazil,Costa Rica,0.05580723253956174,0.7575827422902904,0.17591034264773214,0.06650691506197745,0.8133899748296348,0.1408700012744904,0.0457400238954401,home,home,False,2-0,2-0,False,2-0,3,3,0
2018,25,Nigeria,Iceland,0.045629368346497334,0.3711564280986558,0.3033400596562544,0.32550351224508983,0.3255270597524123,0.31576365843241017,0.35870928181568523,home,away,True,1-0,1-1,True,2-0,1,0,-1
2018,26,Serbia,Switzerland,0.0750104218179305,0.29592574264601845,0.30140603716409303,0.4026682201898885,0.3545773660879339,0.3177648355398578,0.3276577983717077,away,home,True,0-1,1-1,True,1-2,1,0,-1
2018,27,Belgium,Tunisia,0.1448939813863433,0.5882941505014581,0.2495294009283654,0.16217644857017655,0.7331881318880433,0.18778902955260768,0.07902283855983296,home,home,False,2-0,2-0,False,5-2,1,1,0
2018,28,South Korea,Mexico,0.06981996541068317,0.22149794764552588,0.27392202231756413,0.50458003003691,0.17211768959221063,0.2534823149604383,0.5743999954478353,away,away,False,0-2,0-2,False,1-2,2,2,0
2018,29,Germany,Sweden,0.1101143696533224,0.5572744557801315,0.25564408530540156,0.18708145891446706,0.6673888254332001,0.20707011740697032,0.12554105715932215,home,home,False,2-0,2-0,False,2-1,2,2,0
2018,30,England,Panama,0.1284817096794753,0.6772325703667805,0.230848962323133,0.09191846731008652,0.8057142800460206,0.14695333928556223,0.04733238066794677,home,home,False,2-0,2-0,False,6-1,1,1,0
2018,31,Japan,Senegal,0.03675688651384354,0.2841974626862918,0.3143480434473382,0.40145449386636994,0.3070368567436837,0.3282655359035434,0.36469760735227996,away,away,False,0-1,0-1,False,2-2,0,0,0
2018,32,Poland,Colombia,0.0707951430863528,0.2088400738401159,0.29808439945406495,0.49307552670581917,0.27963521692622084,0.28046677572698736,0.4398980073462961,away,away,False,0-1,0-1,False,0-3,1,1,0
2018,33,Uruguay,Russia,0.14616686183634833,0.5011044009780431,0.28051130045892914,0.21838429856302766,0.354937539141444,0.31705163975665707,0.3280108211013973,home,home,False,2-0,2-0,False,3-0,1,1,0
2018,34,Saudi Arabia,Egypt,0.03084149467985471,0.1603267749766985,0.2578039960755159,0.5818692289477855,0.18155015003858968,0.2674221156932287,0.55102773426768,away,away,False,0-2,0-2,False,2-1,0,0,0
