year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2021,2021-06-27,Países Bajos,República Checa,1.5817,3.9983,6.0817
2021,2021-06-26,Italia,Austria,1.5617,3.8483,7.1533
2021,2021-06-26,Gales,Dinamarca,4.6167,3.105,1.97
2021,2021-06-23,Alemania,Hungría,1.1386,9.1214,20.0286
2021,2021-06-23,Portugal,Francia,4.0186,3.4071,2.0086
2021,2021-06-23,Eslovaquia,España,16.5429,6.9557,1.1886
2021,2021-06-23,Suecia,Polonia,2.9114,3.4,2.4886
2021,2021-06-22,Croacia,Escocia,2.3371,3.8214,2.8957
2021,2021-06-22,República Checa,Inglaterra,7.6857,4.2343,1.4757
2021,2021-06-21,Finlandia,Bélgica,9.5771,4.8657,1.3686
2021,2021-06-21,Rusia,Dinamarca,5.3157,4.09,1.6529
2021,2021-06-21,Ucrania,Austria,3.5814,2.3086,3.1029
2021,2021-06-21,Macedonia del Norte,Países Bajos,13.2429,6.6371,1.22
2021,2021-06-20,Italia,Gales,1.4814,4.0357,8.2257
2021,2021-06-20,Suiza,Turquía,1.7329,4.2614,4.7771
2021,2021-06-19,España,Polonia,1.3329,5.3443,10.0071
2021,2021-06-19,Portugal,Alemania,3.34,3.4229,2.2214
2021,2021-06-19,Hungría,Francia,12.2571,5.3786,1.2971
2021,2021-06-18,Croacia,República Checa,2.1643,3.2843,3.6071
2021,2021-06-18,Suecia,Eslovaquia,1.88,3.2957,4.77
2021,2021-06-17,Países Bajos,Austria,1.6043,3.9914,6.01
2021,2021-06-17,Dinamarca,Bélgica,4.3157,3.3543,1.9586
2021,2021-06-17,Ucrania,Macedonia del Norte,1.79,3.6329,4.8529
2021,2021-06-16,Italia,Suiza,1.6871,3.59,5.72
2021,2021-06-16,Turquía,Gales,2.7271,3.0614,2.8471
2021,2021-06-16,Finlandia,Rusia,6.3786,3.91,1.5857
2021,2021-06-15,Francia,Alemania,2.7857,3.2986,2.6257
2021,2021-06-15,Hungría,Portugal,8.2214,4.4029,1.4514
2021,2021-06-14,España,Suecia,1.3614,4.9043,9.8143
2021,2021-06-14,Polonia,Eslovaquia,1.7443,3.4286,5.6871
2021,2021-06-14,Escocia,República Checa,2.8729,2.98,2.7829
2021,2021-06-13,Países Bajos,Ucrania,1.5214,4.3686,6.4457
2021,2021-06-13,Austria,Macedonia del Norte,1.7229,3.5829,5.5229
2021,2021-06-13,Inglaterra,Croacia,1.5729,4.0243,6.54
2021,2021-06-12,Bélgica,Rusia,1.9814,3.41,4.2786
2021,2021-06-12,Dinamarca,Finlandia,1.36,4.7186,11.0357
2021,2021-06-12,Gales,Suiza,4.5686,3.1557,1.9843
2016,2016-07-10,Portugal,Francia,4.33,3.06,2.142
2016,2016-07-07,Alemania,Francia,2.982,2.962,2.826
2016,2016-07-06,Portugal,Gales,2.16,3.104,4.13
2016,2016-07-03,Francia,Islandia,1.424,4.896,8.3
2016,2016-07-02,Alemania,Italia,2.298,3.0,3.874
2016,2016-07-01,Gales,Bélgica,4.92,3.332,1.91
2016,2016-06-30,Polonia,Portugal,3.744,2.926,2.39
2016,2016-06-27,Inglaterra,Islandia,1.458,4.264,9.3
2016,2016-06-27,Italia,España,4.574,2.92,2.146
2016,2016-06-26,Hungría,Bélgica,6.97,3.584,1.648
2016,2016-06-26,Alemania,Eslovaquia,1.432,4.174,10.9
2016,2016-06-26,Francia,Irlanda,1.536,3.734,9.19
2016,2016-06-25,Croacia,Portugal,2.848,3.014,2.894
2016,2016-06-25,Gales,Irlanda del Norte,2.042,2.966,4.99
2016,2016-06-25,Suiza,Polonia,3.05,2.856,2.864
2016,2016-06-22,Suecia,Bélgica,5.03,3.38,1.898
2016,2016-06-22,Italia,Irlanda,2.3,3.128,3.722
2016,2016-06-22,Islandia,Austria,3.628,3.176,2.276
2016,2016-06-22,Hungría,Portugal,9.42,4.014,1.486
2016,2016-06-21,Croacia,España,5.26,3.04,1.962
2016,2016-06-21,República Checa,Turquía,2.366,3.536,3.086
2016,2016-06-21,Irlanda del Norte,Alemania,13.6,4.802,1.34
2016,2016-06-21,Ucrania,Polonia,4.61,3.174,2.01
2016,2016-06-20,Eslovaquia,Inglaterra,5.7,3.192,1.868
2016,2016-06-20,Rusia,Gales,2.65,3.066,3.1
2016,2016-06-18,Portugal,Austria,1.742,3.678,5.49
2021,2021-06-18,Inglaterra,Escocia,1.3243,5.2214,10.5286
2021,2021-06-11,Turquía,Italia,8.2786,4.37,1.4457
2016,2016-06-19,Rumanía,Albania,2.082,3.472,3.866
2016,2016-06-18,Islandia,Hungría,2.672,2.992,3.104
